,Random Forest,XGBoost,Decision Tree,AdaBoost,SVM,MultinomialNB
char-bi,95.24,93.65,74.60,63.49,100.00,96.83
char-tri,98.41,90.48,82.54,74.60,98.41,98.41
word,93.65,90.48,84.13,71.43,95.24,100.00
word-bi,57.14,65.08,61.90,47.62,34.92,53.97
word-tri,41.27,44.44,55.56,57.14,30.16,33.33
