,Random Forest,XGBoost,Decision Tree,AdaBoost,SVM,MultinomialNB
char-bi,98.41,93.65,76.19,74.60,92.06,98.41
char-tri,96.83,95.24,90.48,66.67,95.24,100.00
word,73.02,69.84,63.49,58.73,68.25,96.83
word-bi,41.27,46.03,38.10,39.68,34.92,60.32
word-tri,22.22,33.33,28.57,36.51,30.16,49.21
