,Random Forest,XGBoost,Decision Tree,AdaBoost,SVM,MultinomialNB
char-bi,96.83,93.65,73.02,52.38,69.84,98.41
char-tri,98.41,92.06,88.89,73.02,80.95,100.00
word,92.06,90.48,82.54,66.67,93.65,100.00
word-bi,61.90,66.67,61.90,61.90,47.62,85.71
word-tri,34.92,47.62,46.03,44.44,30.16,57.14
