,Random Forest,XGBoost,Decision Tree,AdaBoost,SVM,MultinomialNB
char-bi,98.41,98.41,85.71,50.79,98.41,84.13
char-tri,96.83,98.41,82.54,85.71,95.24,98.41
word,90.48,92.06,88.89,88.89,100.00,100.00
word-bi,55.56,66.67,69.84,65.08,36.51,63.49
word-tri,31.75,50.79,46.03,46.03,30.16,36.51
