,Random Forest,XGBoost,Decision Tree,AdaBoost,SVM,MultinomialNB
char-bi,96.83,100.00,71.43,66.67,100.00,98.41
char-tri,98.41,90.48,80.95,65.08,98.41,98.41
word,77.78,68.25,60.32,58.73,73.02,90.48
word-bi,50.79,41.27,42.86,38.10,30.16,38.10
word-tri,23.81,33.33,23.81,38.10,30.16,31.75
