,Random Forest,XGBoost,Decision Tree,AdaBoost,SVM,MultinomialNB
char-bi,96.83,100.00,84.13,44.44,79.37,100.00
char-tri,98.41,95.24,92.06,65.08,85.71,100.00
word,98.41,95.24,88.89,92.06,95.24,96.83
word-bi,60.32,69.84,63.49,61.90,53.97,87.30
word-tri,38.10,52.38,49.21,50.79,25.40,65.08
