,Random Forest,XGBoost,Decision Tree,AdaBoost,SVM,MultinomialNB
char-bi,98.41,90.48,74.60,38.10,96.83,69.84
char-tri,98.41,90.48,74.60,60.32,93.65,88.89
word,92.06,84.13,93.65,84.13,100.00,96.83
word-bi,58.73,69.84,66.67,65.08,34.92,58.73
word-tri,39.68,49.21,41.27,36.51,30.16,36.51
