,Random Forest,XGBoost,Decision Tree,AdaBoost,SVM,MultinomialNB
char-bi,98.41,95.24,80.95,73.02,95.24,100.00
char-tri,96.83,93.65,85.71,92.06,96.83,100.00
word,88.89,77.78,82.54,82.54,90.48,100.00
word-bi,66.67,69.84,66.67,60.32,36.51,80.95
word-tri,41.27,44.44,52.38,60.32,25.40,60.32
