,Random Forest,XGBoost,Decision Tree,AdaBoost,SVM,MultinomialNB
unigram,87.30,88.89,80.95,80.95,96.83,96.83
bigram,53.97,69.84,68.25,53.97,31.75,49.21
trigram,42.86,55.56,49.21,44.44,30.16,34.92
