,Random Forest,XGBoost,Decision Tree,AdaBoost,SVM
banknote_authentication,60.60,64.57,60.26,63.91,61.26
sonar,56.52,67.39,54.35,60.87,47.83
iris,73.53,73.53,73.53,55.88,76.47
Pima Indians Diabetes Dataset,63.31,59.17,59.76,66.86,66.86
wine,42.50,40.00,27.50,37.50,37.50
zoo,56.52,56.52,43.48,43.48,39.13
lymphography,62.50,59.38,56.25,56.25,59.38
ionosphere,79.49,79.49,61.54,82.05,61.54
ecoli,47.30,47.30,47.30,64.86,64.86
seeds,76.60,80.85,76.60,72.34,78.72
