,Random Forest,XGBoost,Decision Tree,AdaBoost,SVM
banknote_authentication,57.62,59.82,57.62,62.03,61.81
sonar,63.77,60.87,53.62,63.77,60.87
iris,68.00,68.00,68.00,74.00,76.00
Pima Indians Diabetes Dataset,65.75,68.11,59.06,70.08,71.65
wine,47.46,50.85,44.07,35.59,54.24
zoo,85.29,85.29,85.29,23.53,82.35
lymphography,67.35,67.35,63.27,51.02,75.51
ionosphere,85.34,84.48,80.17,83.62,90.52
ecoli,56.36,57.27,56.36,45.45,61.82
seeds,62.86,64.29,62.86,71.43,68.57
