,Random Forest,XGBoost,Decision Tree,AdaBoost,SVM
banknote_authentication,86.09,87.64,81.46,83.44,86.75
sonar,68.12,65.22,59.42,65.22,75.36
iris,92.00,84.00,84.00,80.00,74.00
Pima Indians Diabetes Dataset,70.87,70.47,59.84,72.05,70.87
wine,93.22,89.83,77.97,91.53,55.93
zoo,76.47,79.41,52.94,23.53,70.59
lymphography,83.67,71.43,57.14,55.10,63.27
ionosphere,90.52,88.79,86.21,87.93,87.93
ecoli,72.73,75.45,54.55,33.64,74.55
seeds,91.43,85.71,78.57,78.57,80.00
