,Random Forest,XGBoost,Decision Tree,AdaBoost,SVM
banknote_authentication,75.06,78.59,74.39,75.94,75.50
sonar,66.67,63.77,62.32,62.32,65.22
iris,86.00,82.00,84.00,82.00,84.00
Pima Indians Diabetes Dataset,72.83,69.69,57.09,71.65,73.62
wine,83.05,81.36,77.97,67.80,52.54
zoo,79.41,73.53,55.88,61.76,70.59
lymphography,79.59,77.55,71.43,65.31,65.31
ionosphere,93.10,86.21,81.90,84.48,94.83
ecoli,70.91,70.91,63.64,57.27,71.82
seeds,88.57,90.00,84.29,68.57,68.57
