,Random Forest,XGBoost,Decision Tree,AdaBoost,SVM
banknote_authentication,93.82,93.82,91.17,92.49,92.49
sonar,84.06,73.91,69.57,69.57,71.01
iris,90.00,90.00,84.00,64.00,92.00
Pima Indians Diabetes Dataset,71.26,69.29,69.29,71.65,74.02
wine,96.61,93.22,83.05,54.24,55.93
zoo,91.18,88.24,79.41,29.41,88.24
lymphography,85.71,85.71,69.39,77.55,81.63
ionosphere,91.38,89.66,78.45,91.38,92.24
ecoli,80.91,81.82,75.45,60.00,83.64
seeds,87.14,84.29,84.29,70.00,82.86
